JugadorID,Nombre,Minutos jugados,Partidos jugados,Goles,Tarj. amarillas,Tarj. roja,EquipoID,Alineacion
1,Sivera,3690',41,0,3,0,ALAVES,POR
2,Toni Moya,1644',39,3,4,0,ALAVES,CEN
3,Jon Guridi,2739',38,0,5,0,ALAVES,CEN
4,Luis Rioja,3146',38,10,6,1,ALAVES,CEN
5,Rubén Duarte,2978',37,0,14,0,ALAVES,DEF
6,Salva Sevilla,2313',36,3,12,0,ALAVES,CEN
7,Abdelkabir Abqar,2859',35,1,10,1,ALAVES,DEF
8,Facundo Tenaglia,2835',34,3,9,0,ALAVES,DEF
9,Miguel,2038',33,4,5,0,ALAVES,DEL
10,Jason,1628',32,2,3,0,ALAVES,CEN
11,Xeber Alkain,1532',31,4,1,2,ALAVES,DEL
12,Javi López,1255',30,0,2,0,ALAVES,DEF
13,Aleksandar Sedlar,2465',30,0,7,0,ALAVES,DEF
14,Benavídez,1464',29,1,10,1,ALAVES,CEN
15,Rober González,1138',28,2,3,1,ALAVES,DEL
16,Nikola Maraš,1606',20,0,2,0,ALAVES,DEF
17,Abde Rebbach,860',19,2,2,0,ALAVES,DEL
18,Mamadou Sylla,784',19,4,1,1,ALAVES,DEL
19,Anderson Arroyo,911',17,0,1,0,ALAVES,DEF
20,Blanco,1321',17,0,10,0,ALAVES,CEN
21,Villalibre,932',16,4,3,0,ALAVES,DEL
22,Taichi Hara,435',15,1,2,0,ALAVES,DEL
23,Laguardia,576',14,0,3,0,ALAVES,DEF
24,Álex Balboa,169',11,0,1,0,ALAVES,CEN
25,Abdallahi Mahmoud,9',3,0,0,0,ALAVES,CEN
26,Joaquín Panichelli,18',2,0,0,0,ALAVES,DEL
27,Marc Tenas,13',1,0,0,0,ALAVES,DEL
28,Jesús Owono,90',1,0,0,0,ALAVES,POR
29,Manu Fuster,3314',40,8,4,0,ALBACETE,DEL
30,Jonathan Dubasin,2634',39,10,6,0,ALBACETE,DEL
31,Olaetxea,3360',39,3,10,0,ALBACETE,CEN
32,Flavien Boyomo,3127',37,1,10,1,ALBACETE,DEF
33,Maikel Mesa,2725',37,8,4,1,ALBACETE,CEN
34,Riki Rodríguez,3028',37,2,10,1,ALBACETE,CEN
35,Higinio Marín,2561',36,11,7,0,ALBACETE,DEL
36,Julio Alonso,2918',36,0,6,1,ALBACETE,DEF
37,Álvaro,2706',35,4,4,1,ALBACETE,DEF
38,Mohamed Djetei,2305',31,1,3,1,ALBACETE,DEF
39,Bernabé,2700',30,0,6,0,ALBACETE,POR
40,Glauder,2051',29,0,7,0,ALBACETE,DEF
41,Juanma García,1690',29,4,1,0,ALBACETE,DEL
42,Fran Álvarez,623',26,1,2,0,ALBACETE,CEN
43,Ros,695',24,0,0,0,ALBACETE,DEF
44,Juan María,858',23,1,5,0,ALBACETE,DEF
45,Carlos Isaac,821',16,1,2,0,ALBACETE,DEF
46,Sergio Maestre,403',14,0,1,0,ALBACETE,CEN
47,Rubén Martínez,468',13,0,2,0,ALBACETE,CEN
48,Altube,1080',12,0,0,0,ALBACETE,POR
49,Dani Escriche,545',12,1,1,0,ALBACETE,DEL
50,Rodrigo Alonso,276',10,0,3,0,ALBACETE,CEN
51,Jovanny Bolívar,113',7,1,0,0,ALBACETE,DEL
52,Javi Martínez,139',7,0,1,0,ALBACETE,CEN
53,Andy Kawaya,67',7,1,0,0,ALBACETE,CEN
54,Dani González,21',5,0,0,0,ALBACETE,DEL
55,Karim Chaban,2',2,0,0,0,ALBACETE,DEL
56,Emmanuel Attipoe,24',1,0,0,0,ALBACETE,DEF
57,Luis Roldán,31',1,0,0,0,ALBACETE,CEN
58,Sergi García,5',1,0,0,0,ALBACETE,CEN
59,Hector Hevel,2285',39,1,7,1,ANDORRA,CEN
60,Germán Valera,2380',38,2,3,0,ANDORRA,DEL
61,Mika,3154',37,1,5,0,ANDORRA,DEF
62,Adrià Altimira,2469',36,1,4,1,ANDORRA,DEF
63,Marc Aguado,2794',36,0,4,0,ANDORRA,CEN
64,Carlos Martínez,1535',35,9,1,1,ANDORRA,DEL
65,Sinan Bakış,2060',33,12,7,0,ANDORRA,DEL
66,Christos Almpanis,1656',31,4,1,0,ANDORRA,DEL
67,Diego Pampín,2161',31,0,2,0,ANDORRA,DEF
68,Jacobo,1181',30,2,4,0,ANDORRA,CEN
69,Sergio Molina,1852',29,2,4,0,ANDORRA,CEN
70,Mustapha Bundu,991',28,3,0,0,ANDORRA,DEL
71,Rubén Bover,1409',28,4,3,0,ANDORRA,CEN
72,Adrià Vilanova,1649',27,0,1,0,ANDORRA,DEF
73,Iván Gil,1509',27,4,2,0,ANDORRA,CEN
74,Jandro Orellana,1263',26,0,4,0,ANDORRA,CEN
75,Diego Alende,1820',22,0,3,0,ANDORRA,DEF
76,Álex Pastor,1246',21,1,0,2,ANDORRA,DEF
77,Nico Ratti,1800',20,0,0,0,ANDORRA,POR
78,Martí Vilà,1229',18,0,3,0,ANDORRA,DEF
79,Raúl Lizoain,1440',16,0,1,0,ANDORRA,POR
80,Álex Petxa,792',13,0,2,0,ANDORRA,DEF
81,Dani Morer,656',12,0,1,1,ANDORRA,DEF
82,Marc Fernández,552',12,0,1,0,ANDORRA,DEL
83,Moha,340',9,0,0,0,ANDORRA,CEN
84,Álex Valle,304',7,0,0,0,ANDORRA,DEF
85,Marc Vidal,540',6,0,0,0,ANDORRA,POR
86,Pau Casadesús,193',4,1,1,0,ANDORRA,DEF
87,Aitor Córdoba,3626',41,0,8,0,BURGOS,DEF
88,José Antonio Caro,3551',41,0,1,1,BURGOS,POR
89,Atienza,3137',40,1,11,0,BURGOS,CEN
90,Elgezabal,3330',39,1,12,0,BURGOS,DEF
91,Miki Muñoz,2058',39,3,10,0,BURGOS,CEN
92,Raúl Navarro,2139',38,0,5,0,BURGOS,DEF
93,Álex Bermejo,2428',37,4,6,1,BURGOS,DEL
94,Areso,2577',37,0,4,0,BURGOS,DEF
95,Pablo Valcarce,1603',37,0,4,0,BURGOS,CEN
96,El Ghezouani,1410',35,3,5,1,BURGOS,DEL
97,Curro Sánchez,2737',34,9,5,1,BURGOS,DEL
98,Artola,1014',32,3,2,0,BURGOS,DEL
99,Gaspar Campos,1665',29,7,1,0,BURGOS,CEN
100,Fran García,1673',28,0,2,0,BURGOS,DEF
101,Matos,2002',28,0,5,0,BURGOS,DEF
102,Grego,1838',25,1,13,0,BURGOS,DEF
103,Borja González,1135',24,0,0,0,BURGOS,DEF
104,Juan Hernández,519',24,0,0,0,BURGOS,CEN
105,David Goldar,1185',16,0,2,0,BURGOS,DEF
106,Míchel Zabaco,913',15,0,1,0,BURGOS,DEF
107,Sergio Castel,537',10,0,2,0,BURGOS,DEL
108,Saúl Berjón,70',9,0,0,0,BURGOS,DEL
109,Dani Barrio,226',3,0,0,0,BURGOS,POR
110,Andy,136',2,0,0,0,BURGOS,CEN
111,Javi López,2',2,0,0,0,BURGOS,DEL
112,Marino Illescas,5',2,0,0,0,BURGOS,CEN
113,Dani Albiar,1868',34,2,1,0,CARTAGENA,CEN
114,Luis Castillo,2590',34,5,4,0,CARTAGENA,CEN
115,Antonio Sánchez,2638',31,2,4,0,CARTAGENA,DEF
116,Nacho Pais,2772',31,2,10,0,CARTAGENA,CEN
117,Sutherland,2210',31,5,5,0,CARTAGENA,DEL
118,Barro,2232',29,1,6,0,CARTAGENA,CEN
119,Diego De Pedro,2033',28,0,4,0,CARTAGENA,CEN
120,Sergi Fernández,1685',27,0,7,1,CARTAGENA,CEN
121,Pedro García,1359',23,0,6,0,CARTAGENA,DEF
122,Enrico Dueñas,909',21,0,4,0,CARTAGENA,CEN
123,Ayán Galván,617',20,4,1,0,CARTAGENA,DEL
124,Jeriel De Santis,1279',20,11,8,0,CARTAGENA,DEL
125,Uriel,1527',20,3,8,0,CARTAGENA,DEF
126,Sergio,1710',19,0,3,0,CARTAGENA,POR
127,Diego Iglesias,1205',18,1,0,0,CARTAGENA,CEN
128,Javi Fernández,1356',18,0,7,1,CARTAGENA,DEF
129,Carlos Sánchez,1326',17,0,2,0,CARTAGENA,DEF
130,Farru,1167',13,1,0,1,CARTAGENA,DEF
131,Josema,492',13,0,0,0,CARTAGENA,DEL
132,Checo,486',12,0,3,0,CARTAGENA,CEN
133,Saldaña,1080',12,0,2,0,CARTAGENA,POR
134,Iván Ayllón,223',9,0,0,0,CARTAGENA,DEL
135,Adrián Sanmartín,233',8,1,3,0,CARTAGENA,DEL
136,Cássio,40',4,0,1,0,CARTAGENA,CEN
137,Marcio Vidal,30',3,0,0,0,CARTAGENA,CEN
138,Neskes,241',3,0,1,0,CARTAGENA,CEN
139,Unai Agirre,270',3,0,2,0,CARTAGENA,POR
140,Lilian de Palmas,32',2,0,0,0,CARTAGENA,DEF
141,Raúl De la Rosa,10',1,0,1,0,CARTAGENA,CEN
142,Corpas,2624',41,4,8,0,EIBAR,CEN
143,Stoichkov,3002',40,12,12,0,EIBAR,CEN
144,Matheus Pereira,3207',39,2,15,0,EIBAR,CEN
145,Jon Bautista,2107',38,6,3,0,EIBAR,DEL
146,Javi Muñoz,2296',37,0,6,3,EIBAR,CEN
147,Sergio Álvarez,2905',37,0,8,1,EIBAR,CEN
148,Álvaro Tejero,2596',35,2,3,0,EIBAR,DEF
149,Arbilla,3021',35,0,9,0,EIBAR,DEF
150,Juan Berrocal,2732',33,1,11,0,EIBAR,DEF
151,Nolaskoain,1930',32,2,9,0,EIBAR,CEN
152,Yanis Rahmani,1678',32,4,2,0,EIBAR,CEN
153,Luca Zidane,2790',31,0,3,0,EIBAR,POR
