PartidoID,Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
22-23-000,12/8/22,LEVANTE,HUESCA,0,0,16,9,2,2,0.58,0.42,394,299,0.79,0.79,19,9,4,1,1,0,1,4,10,2
22-23-001,13/8/22,EIBAR,TENERIFE,2,1,13,6,3,1,0.63,0.37,498,302,0.84,0.72,15,6,4,2,0,0,1,3,6,4
22-23-002,13/8/22,MIRANDES,GIJON,1,1,15,8,2,4,0.48,0.52,355,383,0.71,0.74,16,5,1,2,0,0,3,1,3,2
22-23-003,13/8/22,LEGANES,ALAVES,1,2,15,9,2,3,0.63,0.37,489,298,0.84,0.73,11,14,3,3,0,0,3,1,3,3
22-23-004,13/8/22,PALMAS,ZARAGOZA,0,0,12,8,5,4,0.59,0.41,502,356,0.83,0.77,11,20,5,3,0,0,4,1,4,2
22-23-005,14/8/22,SANTANDER,VILLARREALB,0,2,8,10,5,5,0.44,0.56,355,441,0.72,0.78,21,18,1,2,0,0,1,0,1,3
22-23-006,14/8/22,IBIZA,GRANADA,0,2,6,10,2,4,0.45,0.55,250,300,0.80,0.85,12,10,1,2,0,0,4,5,3,1
22-23-007,14/8/22,BURGOS,MALAGA,1,0,19,23,11,11,0.52,0.48,436,408,0.80,0.77,12,10,1,2,0,0,3,2,4,5
22-23-008,15/8/22,OVIEDO,ANDORRA,0,1,10,7,3,4,0.35,0.65,346,651,0.77,0.87,13,11,1,1,1,0,2,1,5,3
22-23-009,15/8/22,LUGO,ALBACETE,1,2,7,18,3,4,0.35,0.65,234,425,0.66,0.82,14,7,4,3,0,0,0,0,2,11
22-23-010,15/8/22,CARTAGENA,PONFERRADINA,2,3,20,6,3,4,0.55,0.45,458,398,0.82,0.75,10,8,3,1,0,0,4,2,9,2
22-23-011,19/8/22,VILLARREALB,EIBAR,2,2,13,14,5,3,0.45,0.55,395,458,0.81,0.8,11,15,5,4,1,1,3,2,2,6
22-23-012,19/8/22,ALAVES,MIRANDES,1,0,15,12,5,1,0.44,0.56,327,416,0.66,0.75,13,12,2,3,0,0,2,1,3,6
22-23-013,20/8/22,GIJON,ANDORRA,4,1,13,7,6,2,0.26,0.73,290,582,0.64,0.87,15,7,1,2,0,0,3,1,2,4
