Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
12/8/22,LEVANTE,HUESCA,0,0
13/8/22,EIBAR,TENERIFE,2,1
13/8/22,MIRANDES,GIJON,1,1
13/8/22,LEGANES,ALAVES,1,2
13/8/22,PALMAS,ZARAGOZA,0,0
14/8/22,SANTANDER,VILLARREALB,0,2
14/8/22,IBIZA,GRANADA,0,2
14/8/22,BURGOS,MALAGA,1,0
15/8/22,OVIEDO,ANDORRA,0,1
15/8/22,LUGO,ALBACETE,1,2
15/8/22,CARTAGENA,PONFERRADINA,2,3
19/8/22,VILLARREALB,EIBAR,2,2
19/8/22,ALAVES,MIRANDES,1,0
20/8/22,GIJON,ANDORRA,4,1
20/8/22,ZARAGOZA,LEVANTE,0,0
20/8/22,ALBACETE,BURGOS,0,0
20/8/22,GRANADA,SANTANDER,2,0
21/8/22,OVIEDO,LEGANES,1,0
21/8/22,HUESCA,CARTAGENA,2,3
21/8/22,TENERIFE,LUGO,1,1
22/8/22,PONFERRADINA,IBIZA,2,1
22/8/22,MALAGA,PALMAS,0,4
26/8/22,ALBACETE,HUESCA,2,1
26/8/22,CARTAGENA,ZARAGOZA,1,0
27/8/22,GIJON,BURGOS,0,0
27/8/22,MIRANDES,MALAGA,1,3
27/8/22,LUGO,LEGANES,1,0
27/8/22,LEVANTE,TENERIFE,2,0
28/8/22,SANTANDER,OVIEDO,0,1
28/8/22,EIBAR,PONFERRADINA,1,0
28/8/22,IBIZA,ALAVES,1,1
29/8/22,GRANADA,VILLARREALB,3,0
29/8/22,PALMAS,ANDORRA,2,0
2/9/22,LEGANES,EIBAR,2,1
3/9/22,ALAVES,PALMAS,1,1
3/9/22,VILLARREALB,MIRANDES,3,0
3/9/22,PONFERRADINA,GIJON,1,3
3/9/22,TENERIFE,SANTANDER,1,0
4/9/22,ANDORRA,GRANADA,1,0
4/9/22,MALAGA,ALBACETE,1,2
4/9/22,BURGOS,CARTAGENA,1,0
4/9/22,HUESCA,IBIZA,3,0
4/9/22,ZARAGOZA,LUGO,1,2
5/9/22,OVIEDO,LEVANTE,1,1
9/9/22,PALMAS,LEGANES,1,0
10/9/22,LUGO,ALAVES,1,2
10/9/22,BURGOS,OVIEDO,0,0
10/9/22,CARTAGENA,ALBACETE,2,1
10/9/22,LEVANTE,VILLARREALB,4,1
11/9/22,GIJON,SANTANDER,0,2
11/9/22,IBIZA,TENERIFE,1,0
11/9/22,MIRANDES,ANDORRA,1,1
11/9/22,PONFERRADINA,ZARAGOZA,1,2
11/9/22,HUESCA,MALAGA,1,0
12/9/22,EIBAR,GRANADA,4,0
16/9/22,LEVANTE,CARTAGENA,0,1
17/9/22,VILLARREALB,LUGO,3,1
17/9/22,OVIEDO,IBIZA,0,1
17/9/22,GRANADA,MIRANDES,2,1
17/9/22,ANDORRA,EIBAR,2,0
17/9/22,ZARAGOZA,GIJON,1,0
18/9/22,LEGANES,BURGOS,0,0
18/9/22,ALAVES,HUESCA,2,1
18/9/22,SANTANDER,PALMAS,0,0
18/9/22,ALBACETE,PONFERRADINA,0,1
19/9/22,TENERIFE,MALAGA,3,1
23/9/22,GIJON,IBIZA,2,1
24/9/22,HUESCA,LEGANES,1,0
24/9/22,MIRANDES,ZARAGOZA,2,0
24/9/22,MALAGA,VILLARREALB,1,1
24/9/22,PONFERRADINA,TENERIFE,2,2
25/9/22,BURGOS,LEVANTE,0,0
25/9/22,LUGO,OVIEDO,0,0
25/9/22,EIBAR,SANTANDER,2,1
25/9/22,ALBACETE,ANDORRA,1,1
26/9/22,CARTAGENA,ALAVES,1,1
26/9/22,PALMAS,GRANADA,2,0
30/9/22,TENERIFE,GIJON,1,1
1/10/22,SANTANDER,MALAGA,0,0
1/10/22,MIRANDES,PALMAS,3,3
1/10/22,ANDORRA,LEVANTE,3,1
1/10/22,VILLARREALB,BURGOS,0,0
2/10/22,ALAVES,PONFERRADINA,3,1
2/10/22,LEGANES,ALBACETE,1,2
2/10/22,GRANADA,HUESCA,0,0
2/10/22,OVIEDO,CARTAGENA,1,3
2/10/22,IBIZA,LUGO,3,2
3/10/22,ZARAGOZA,EIBAR,0,0
7/10/22,GIJON,VILLARREALB,3,1
8/10/22,PONFERRADINA,GRANADA,0,0
8/10/22,HUESCA,LUGO,1,1
8/10/22,PALMAS,IBIZA,0,0
8/10/22,BURGOS,ALAVES,3,0
9/10/22,CARTAGENA,LEGANES,1,2
9/10/22,ZARAGOZA,OVIEDO,1,1
9/10/22,LEVANTE,SANTANDER,0,1
9/10/22,ALBACETE,TENERIFE,1,1
9/10/22,MALAGA,ANDORRA,0,0
10/10/22,EIBAR,MIRANDES,0,0
12/10/22,VILLARREALB,PONFERRADINA,2,2
12/10/22,ANDORRA,BURGOS,0,1
12/10/22,LEGANES,MALAGA,1,0
12/10/22,TENERIFE,CARTAGENA,0,0
12/10/22,OVIEDO,HUESCA,0,1
12/10/22,ALAVES,ALBACETE,0,0
12/10/22,LUGO,PALMAS,0,1
12/10/22,SANTANDER,ZARAGOZA,1,0
13/10/22,MIRANDES,LEVANTE,0,1
13/10/22,IBIZA,EIBAR,1,2
13/10/22,GRANADA,GIJON,5,0
15/10/22,ZARAGOZA,VILLARREALB,2,1
15/10/22,ANDORRA,ALAVES,0,1
15/10/22,HUESCA,SANTANDER,0,0
15/10/22,PONFERRADINA,PALMAS,0,1
15/10/22,ALBACETE,OVIEDO,1,0
16/10/22,LEVANTE,LEGANES,2,1
16/10/22,BURGOS,MIRANDES,2,1
16/10/22,MALAGA,LUGO,3,2
16/10/22,TENERIFE,GRANADA,2,0
16/10/22,CARTAGENA,IBIZA,2,0
17/10/22,GIJON,EIBAR,2,0
21/10/22,GRANADA,ZARAGOZA,1,0
22/10/22,VILLARREALB,ANDORRA,1,0
22/10/22,MIRANDES,HUESCA,1,1
22/10/22,ALAVES,GIJON,0,0
22/10/22,IBIZA,LEVANTE,1,2
23/10/22,SANTANDER,PONFERRADINA,1,1
23/10/22,LUGO,BURGOS,2,0
23/10/22,LEGANES,TENERIFE,2,1
23/10/22,EIBAR,ALBACETE,1,1
23/10/22,PALMAS,CARTAGENA,1,0
24/10/22,OVIEDO,MALAGA,1,0
28/10/22,TENERIFE,ZARAGOZA,0,2
29/10/22,ANDORRA,PONFERRADINA,3,0
29/10/22,HUESCA,PALMAS,1,0
29/10/22,ALAVES,OVIEDO,2,1
29/10/22,LEGANES,SANTANDER,0,0
29/10/22,BURGOS,IBIZA,2,0
30/10/22,LUGO,MIRANDES,0,0
30/10/22,MALAGA,EIBAR,0,1
30/10/22,CARTAGENA,GRANADA,0,0
30/10/22,ALBACETE,VILLARREALB,0,0
31/10/22,LEVANTE,GIJON,1,0
1/11/22,ZARAGOZA,ANDORRA,0,2
1/11/22,PONFERRADINA,HUESCA,1,0
1/11/22,PALMAS,BURGOS,0,2
1/11/22,SANTANDER,ALAVES,1,1
1/11/22,IBIZA,LEGANES,0,2
2/11/22,EIBAR,LUGO,1,0
2/11/22,VILLARREALB,OVIEDO,2,1
2/11/22,MIRANDES,TENERIFE,1,0
3/11/22,CARTAGENA,MALAGA,2,1
3/11/22,GIJON,ALBACETE,2,2
3/11/22,GRANADA,LEVANTE,0,0
4/11/22,ALAVES,ZARAGOZA,1,0
5/11/22,BURGOS,TENERIFE,0,1
5/11/22,HUESCA,VILLARREALB,1,0
5/11/22,ANDORRA,SANTANDER,0,1
5/11/22,LEGANES,PONFERRADINA,2,1
6/11/22,IBIZA,MIRANDES,1,1
6/11/22,OVIEDO,GRANADA,1,0
6/11/22,MALAGA,GIJON,1,1
6/11/22,PALMAS,EIBAR,1,1
6/11/22,ALBACETE,LEVANTE,2,3
7/11/22,LUGO,CARTAGENA,1,1
18/11/22,GRANADA,ALBACETE,4,0
19/11/22,PONFERRADINA,OVIEDO,1,1
19/11/22,GIJON,LEGANES,2,2
19/11/22,TENERIFE,HUESCA,2,0
19/11/22,ZARAGOZA,MALAGA,1,1
20/11/22,VILLARREALB,IBIZA,1,0
20/11/22,ANDORRA,LUGO,4,0
20/11/22,SANTANDER,BURGOS,0,1
20/11/22,EIBAR,ALAVES,0,0
20/11/22,LEVANTE,PALMAS,1,1
21/11/22,MIRANDES,CARTAGENA,2,1
25/11/22,HUESCA,GIJON,0,0
26/11/22,ALAVES,VILLARREALB,2,0
26/11/22,MALAGA,PONFERRADINA,1,0
26/11/22,ALBACETE,SANTANDER,2,1
26/11/22,OVIEDO,MIRANDES,1,0
26/11/22,PALMAS,TENERIFE,3,1
27/11/22,BURGOS,ZARAGOZA,2,2
27/11/22,LEGANES,GRANADA,1,0
27/11/22,LUGO,LEVANTE,1,1
27/11/22,CARTAGENA,EIBAR,2,1
28/11/22,IBIZA,ANDORRA,0,1
30/11/22,TENERIFE,OVIEDO,0,1
2/12/22,GRANADA,ALAVES,3,1
3/12/22,ZARAGOZA,IBIZA,2,1
3/12/22,MIRANDES,ALBACETE,4,2
3/12/22,GIJON,PALMAS,0,1
3/12/22,VILLARREALB,LEGANES,0,0
4/12/22,ANDORRA,CARTAGENA,0,1
4/12/22,SANTANDER,LUGO,0,1
4/12/22,EIBAR,HUESCA,2,1
4/12/22,LEVANTE,MALAGA,1,0
5/12/22,PONFERRADINA,BURGOS,1,2
6/12/22,LEGANES,MIRANDES,2,2
6/12/22,OVIEDO,PALMAS,0,0
6/12/22,ALBACETE,ZARAGOZA,0,0
7/12/22,CARTAGENA,VILLARREALB,0,1
7/12/22,HUESCA,ANDORRA,1,0
7/12/22,TENERIFE,ALAVES,2,1
8/12/22,BURGOS,EIBAR,1,2
8/12/22,LUGO,GIJON,0,1
8/12/22,LEVANTE,PONFERRADINA,0,0
8/12/22,IBIZA,SANTANDER,1,0
8/12/22,MALAGA,GRANADA,1,1
10/12/22,VILLARREALB,TENERIFE,2,2
10/12/22,ANDORRA,LEGANES,1,1
10/12/22,ZARAGOZA,HUESCA,3,0
11/12/22,IBIZA,MALAGA,1,1
11/12/22,GIJON,CARTAGENA,0,0
11/12/22,PONFERRADINA,LUGO,1,0
11/12/22,GRANADA,BURGOS,1,0
11/12/22,EIBAR,OVIEDO,1,0
11/12/22,PALMAS,ALBACETE,1,2
11/12/22,SANTANDER,MIRANDES,1,2
12/12/22,ALAVES,LEVANTE,0,2
16/12/22,TENERIFE,ANDORRA,1,1
17/12/22,MIRANDES,PONFERRADINA,2,1
17/12/22,LUGO,GRANADA,1,0
17/12/22,VILLARREALB,PALMAS,0,1
17/12/22,CARTAGENA,SANTANDER,0,3
17/12/22,OVIEDO,GIJON,1,0
18/12/22,ALBACETE,IBIZA,4,0
18/12/22,BURGOS,HUESCA,1,1
18/12/22,LEVANTE,EIBAR,0,0
18/12/22,MALAGA,ALAVES,1,0
19/12/22,LEGANES,ZARAGOZA,2,1
6/1/23,PONFERRADINA,VILLARREALB,2,1
6/1/23,GIJON,LEVANTE,1,1
6/1/23,LEGANES,LUGO,1,0
7/1/23,ANDORRA,OVIEDO,3,1
7/1/23,MALAGA,TENERIFE,1,1
7/1/23,ALAVES,BURGOS,1,0
8/1/23,GRANADA,CARTAGENA,1,0
8/1/23,ZARAGOZA,MIRANDES,0,0
8/1/23,PALMAS,SANTANDER,1,1
8/1/23,EIBAR,IBIZA,1,0
9/1/23,HUESCA,ALBACETE,1,1
13/1/23,OVIEDO,ALAVES,1,0
14/1/23,CARTAGENA,HUESCA,0,0
14/1/23,IBIZA,PALMAS,1,2
14/1/23,VILLARREALB,ZARAGOZA,2,3
14/1/23,TENERIFE,PONFERRADINA,0,0
