PartidoID,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
22-23-000,0,0,0,0,,El porcentaje de partidos con más de 2.5 goles es: 34.62%
22-23-001,2,1,3,1,,
22-23-002,1,1,2,0,,
22-23-003,1,2,3,1,,
22-23-004,0,0,0,0,,
22-23-005,0,2,2,0,,
22-23-006,0,2,2,0,,
22-23-007,1,0,1,0,,
22-23-008,0,1,1,0,,
22-23-009,1,2,3,1,,
22-23-010,2,3,5,1,,
22-23-011,2,2,4,1,,
22-23-012,1,0,1,0,,
22-23-013,4,1,5,1,,
22-23-014,0,0,0,0,,
22-23-015,0,0,0,0,,
22-23-016,2,0,2,0,,
22-23-017,1,0,1,0,,
22-23-018,2,3,5,1,,
22-23-019,1,1,2,0,,
22-23-020,2,1,3,1,,
22-23-021,0,4,4,1,,
22-23-022,2,1,3,1,,
22-23-023,1,0,1,0,,
22-23-024,0,0,0,0,,
22-23-025,1,3,4,1,,
22-23-026,1,0,1,0,,
22-23-027,2,0,2,0,,
22-23-028,0,1,1,0,,
22-23-029,1,0,1,0,,
22-23-030,1,1,2,0,,
22-23-031,3,0,3,1,,
22-23-032,2,0,2,0,,
22-23-033,2,1,3,1,,
22-23-034,1,1,2,0,,
22-23-035,3,0,3,1,,
22-23-036,1,3,4,1,,
22-23-037,1,0,1,0,,
22-23-038,1,0,1,0,,
22-23-039,1,2,3,1,,
22-23-040,1,0,1,0,,
22-23-041,3,0,3,1,,
22-23-042,1,2,3,1,,
22-23-043,1,1,2,0,,
22-23-044,1,0,1,0,,
22-23-045,1,2,3,1,,
22-23-046,0,0,0,0,,
22-23-047,2,1,3,1,,
22-23-048,4,1,5,1,,
22-23-049,0,2,2,0,,
22-23-050,1,0,1,0,,
22-23-051,1,1,2,0,,
22-23-052,1,2,3,1,,
22-23-053,1,0,1,0,,
22-23-054,4,0,4,1,,
22-23-055,0,1,1,0,,
22-23-056,3,1,4,1,,
22-23-057,0,1,1,0,,
22-23-058,2,1,3,1,,
22-23-059,2,0,2,0,,
22-23-060,1,0,1,0,,
22-23-061,0,0,0,0,,
22-23-062,2,1,3,1,,
22-23-063,0,0,0,0,,
22-23-064,0,1,1,0,,
22-23-065,3,1,4,1,,
22-23-066,2,1,3,1,,
22-23-067,1,0,1,0,,
22-23-068,2,0,2,0,,
22-23-069,1,1,2,0,,
22-23-070,2,2,4,1,,
22-23-071,0,0,0,0,,
22-23-072,0,0,0,0,,
22-23-073,2,1,3,1,,
22-23-074,1,1,2,0,,
22-23-075,1,1,2,0,,
22-23-076,2,0,2,0,,
22-23-077,1,1,2,0,,
22-23-078,0,0,0,0,,
22-23-079,3,3,6,1,,
22-23-080,3,1,4,1,,
22-23-081,0,0,0,0,,
22-23-082,3,1,4,1,,
22-23-083,1,2,3,1,,
22-23-084,0,0,0,0,,
22-23-085,1,3,4,1,,
22-23-086,3,2,5,1,,
22-23-087,0,0,0,0,,
22-23-088,3,1,4,1,,
22-23-089,0,0,0,0,,
22-23-090,1,1,2,0,,
22-23-091,0,0,0,0,,
22-23-092,3,0,3,1,,
22-23-093,1,2,3,1,,
22-23-094,1,1,2,0,,
22-23-095,0,1,1,0,,
22-23-096,1,1,2,0,,
22-23-097,0,0,0,0,,
22-23-098,0,0,0,0,,
22-23-099,2,2,4,1,,
22-23-100,0,1,1,0,,
22-23-101,1,0,1,0,,
22-23-102,0,0,0,0,,
22-23-103,0,1,1,0,,
22-23-104,0,0,0,0,,
22-23-105,0,1,1,0,,
22-23-106,1,0,1,0,,
22-23-107,0,1,1,0,,
22-23-108,1,2,3,1,,
22-23-109,5,0,5,1,,
22-23-110,2,1,3,1,,
22-23-111,0,1,1,0,,
22-23-112,0,0,0,0,,
22-23-113,0,1,1,0,,
22-23-114,1,0,1,0,,
22-23-115,2,1,3,1,,
22-23-116,2,1,3,1,,
22-23-117,3,2,5,1,,
22-23-118,2,0,2,0,,
22-23-119,2,0,2,0,,
22-23-120,2,0,2,0,,
22-23-121,1,0,1,0,,
22-23-122,1,0,1,0,,
22-23-123,1,1,2,0,,
22-23-124,0,0,0,0,,
22-23-125,1,2,3,1,,
22-23-126,1,1,2,0,,
22-23-127,2,0,2,0,,
22-23-128,2,1,3,1,,
22-23-129,1,1,2,0,,
22-23-130,1,0,1,0,,
22-23-131,1,0,1,0,,
22-23-132,0,2,2,0,,
22-23-133,3,0,3,1,,
22-23-134,1,0,1,0,,
22-23-135,2,1,3,1,,
22-23-136,0,0,0,0,,
22-23-137,2,0,2,0,,
22-23-138,0,0,0,0,,
22-23-139,0,1,1,0,,
22-23-140,0,0,0,0,,
22-23-141,0,0,0,0,,
22-23-142,1,0,1,0,,
22-23-143,0,2,2,0,,
22-23-144,1,0,1,0,,
22-23-145,0,2,2,0,,
22-23-146,1,1,2,0,,
22-23-147,0,2,2,0,,
22-23-148,1,0,1,0,,
22-23-149,2,1,3,1,,
22-23-150,1,0,1,0,,
22-23-151,2,1,3,1,,
22-23-152,2,2,4,1,,
22-23-153,0,0,0,0,,
22-23-154,1,0,1,0,,
22-23-155,0,1,1,0,,
22-23-156,1,0,1,0,,
22-23-157,0,1,1,0,,
22-23-158,2,1,3,1,,
22-23-159,1,1,2,0,,
22-23-160,1,0,1,0,,
22-23-161,1,1,2,0,,
22-23-162,1,1,2,0,,
22-23-163,2,3,5,1,,
22-23-164,1,1,2,0,,
22-23-165,4,0,4,1,,
22-23-166,1,1,2,0,,
22-23-167,2,2,4,1,,
22-23-168,2,0,2,0,,
22-23-169,1,1,2,0,,
22-23-170,1,0,1,0,,
22-23-171,4,0,4,1,,
22-23-172,0,1,1,0,,
22-23-173,0,0,0,0,,
22-23-174,1,1,2,0,,
22-23-175,2,1,3,1,,
22-23-176,0,0,0,0,,
22-23-177,2,0,2,0,,
22-23-178,1,0,1,0,,
22-23-179,2,1,3,1,,
22-23-180,1,0,1,0,,
22-23-181,3,1,4,1,,
22-23-182,2,2,4,1,,
22-23-183,1,0,1,0,,
22-23-184,1,1,2,0,,
22-23-185,2,1,3,1,,
22-23-186,0,1,1,0,,
22-23-187,0,1,1,0,,
22-23-188,3,1,4,1,,
22-23-189,2,1,3,1,,
22-23-190,4,2,6,1,,
22-23-191,0,1,1,0,,
22-23-192,0,0,0,0,,
22-23-193,0,1,1,0,,
22-23-194,0,1,1,0,,
22-23-195,2,1,3,1,,
22-23-196,1,0,1,0,,
22-23-197,1,2,3,1,,
22-23-198,2,2,4,1,,
22-23-199,0,0,0,0,,
22-23-200,0,0,0,0,,
22-23-201,0,1,1,0,,
22-23-202,1,0,1,0,,
22-23-203,2,1,3,1,,
22-23-204,1,2,3,1,,
22-23-205,0,1,1,0,,
22-23-206,0,0,0,0,,
22-23-207,1,0,1,0,,
22-23-208,1,1,2,0,,
22-23-209,2,2,4,1,,
22-23-210,1,1,2,0,,
22-23-211,3,0,3,1,,
22-23-212,1,1,2,0,,
22-23-213,0,0,0,0,,
22-23-214,1,0,1,0,,
22-23-215,1,0,1,0,,
22-23-216,1,0,1,0,,
22-23-217,1,2,3,1,,
22-23-218,1,2,3,1,,
22-23-219,0,2,2,0,,
22-23-220,1,1,2,0,,
22-23-221,2,1,3,1,,
22-23-222,1,0,1,0,,
22-23-223,0,1,1,0,,
22-23-224,0,3,3,1,,
22-23-225,1,0,1,0,,
22-23-226,4,0,4,1,,
22-23-227,1,1,2,0,,
22-23-228,0,0,0,0,,
22-23-229,1,0,1,0,,
22-23-230,2,1,3,1,,
22-23-231,2,1,3,1,,
22-23-232,1,1,2,0,,
22-23-233,1,0,1,0,,
22-23-234,3,1,4,1,,
22-23-235,1,1,2,0,,
22-23-236,1,0,1,0,,
22-23-237,1,0,1,0,,
22-23-238,0,0,0,0,,
22-23-239,1,1,2,0,,
22-23-240,1,0,1,0,,
22-23-241,1,1,2,0,,
22-23-242,1,0,1,0,,
22-23-243,0,0,0,0,,
22-23-244,1,2,3,1,,
22-23-245,2,3,5,1,,
22-23-246,0,0,0,0,,
22-23-247,2,0,2,0,,
22-23-248,3,1,4,1,,
22-23-249,2,1,3,1,,
22-23-250,2,0,2,0,,
22-23-251,2,1,3,1,,
22-23-252,1,0,1,0,,
22-23-253,2,1,3,1,,
22-23-254,0,1,1,0,,
22-23-255,1,1,2,0,,
22-23-256,2,0,2,0,,
22-23-257,3,0,3,1,,
22-23-258,2,2,4,1,,
22-23-259,0,1,1,0,,
22-23-260,1,0,1,0,,
22-23-261,1,1,2,0,,
22-23-262,1,2,3,1,,
22-23-263,0,1,1,0,,
22-23-264,1,1,2,0,,
22-23-265,2,0,2,0,,
22-23-266,0,1,1,0,,
22-23-267,0,0,0,0,,
22-23-268,1,0,1,0,,
22-23-269,1,3,4,1,,
22-23-270,1,0,1,0,,
22-23-271,2,0,2,0,,
22-23-272,0,0,0,0,,
22-23-273,2,2,4,1,,
22-23-274,0,0,0,0,,
22-23-275,0,1,1,0,,
22-23-276,1,0,1,0,,
22-23-277,1,0,1,0,,
22-23-278,1,0,1,0,,
22-23-279,2,0,2,0,,
22-23-280,0,2,2,0,,
22-23-281,0,1,1,0,,
22-23-282,1,2,3,1,,
22-23-283,1,1,2,0,,
22-23-284,0,0,0,0,,
22-23-285,0,0,0,0,,
22-23-286,2,0,2,0,,
22-23-287,1,4,5,1,,
22-23-288,2,1,3,1,,
22-23-289,1,0,1,0,,
22-23-290,3,0,3,1,,
22-23-291,3,2,5,1,,
22-23-292,0,1,1,0,,
22-23-293,0,3,3,1,,
22-23-294,1,1,2,0,,
22-23-295,1,1,2,0,,
