Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
27/4/24,ELCHE,ESPANYOL,2,2
28/4/24,GIJON,VILLARREALB,0,3
28/4/24,OVIEDO,TENERIFE,0,1
28/4/24,ALCORCON,ELDENSE,0,0
28/4/24,LEVANTE,CARTAGENA,0,1
28/4/24,VALLADOLID,HUESCA,1,0
28/4/24,ALBACETE,EIBAR,2,1
29/4/24,FERROL,MIRANDES,0,2
3/5/24,VILLARREALB,LEVANTE,0,3
4/5/24,MIRANDES,VALLADOLID,0,1
4/5/24,HUESCA,OVIEDO,0,2
4/5/24,SANTANDER,ELCHE,3,1
4/5/24,CARTAGENA,ALCORCON,1,0
5/5/24,EIBAR,AMOREBIETA,5,0
5/5/24,ESPANYOL,GIJON,0,0
5/5/24,ANDORRA,ALBACETE,0,1
5/5/24,ELDENSE,LEGANES,1,2
5/5/24,ZARAGOZA,BURGOS,1,3
5/5/24,TENERIFE,FERROL,2,0
10/5/24,BURGOS,ELDENSE,1,2
11/5/24,SANTANDER,MIRANDES,1,0
11/5/24,GIJON,ANDORRA,5,2
11/5/24,FERROL,ALCORCON,2,1
11/5/24,VALLADOLID,ESPANYOL,0,0
11/5/24,LEVANTE,EIBAR,2,2
12/5/24,AMOREBIETA,VILLARREALB,2,0
12/5/24,OVIEDO,ZARAGOZA,1,0
12/5/24,ALBACETE,LEGANES,1,0
12/5/24,CARTAGENA,TENERIFE,2,0
12/5/24,ELCHE,HUESCA,0,3
17/5/24,MIRANDES,ELCHE,1,1
18/5/24,ANDORRA,BURGOS,1,0
18/5/24,LEGANES,GIJON,2,1
18/5/24,HUESCA,SANTANDER,0,3
18/5/24,ELDENSE,LEVANTE,0,0
18/5/24,TENERIFE,AMOREBIETA,0,1
19/5/24,EIBAR,CARTAGENA,1,0
19/5/24,ALCORCON,VALLADOLID,1,1
19/5/24,ZARAGOZA,FERROL,2,2
20/5/24,VILLARREALB,ALBACETE,2,2
20/5/24,ESPANYOL,OVIEDO,2,1
26/5/24,GIJON,EIBAR,1,0
26/5/24,ALBACETE,MIRANDES,2,2
26/5/24,LEVANTE,ALCORCON,2,2
26/5/24,FERROL,LEGANES,2,2
26/5/24,CARTAGENA,HUESCA,0,2
26/5/24,VALLADOLID,VILLARREALB,3,2
26/5/24,ELCHE,ELDENSE,1,2
26/5/24,AMOREBIETA,ESPANYOL,0,0
26/5/24,OVIEDO,ANDORRA,3,0
26/5/24,SANTANDER,ZARAGOZA,0,2
26/5/24,BURGOS,TENERIFE,1,1
2/6/24,HUESCA,LEVANTE,0,0
2/6/24,ALCORCON,BURGOS,1,1
2/6/24,ANDORRA,FERROL,1,0
2/6/24,TENERIFE,VALLADOLID,2,1
2/6/24,EIBAR,OVIEDO,4,3
2/6/24,LEGANES,ELCHE,2,0
2/6/24,MIRANDES,AMOREBIETA,1,0
2/6/24,ESPANYOL,CARTAGENA,3,0
2/6/24,ELDENSE,GIJON,0,1
2/6/24,VILLARREALB,SANTANDER,1,0
2/6/24,ZARAGOZA,ALBACETE,1,1
8/6/24,OVIEDO,EIBAR,0,0
9/6/24,GIJON,ESPANYOL,0,1
12/6/24,EIBAR,OVIEDO,0,2
13/6/24,ESPANYOL,GIJON,0,0
16/6/24,OVIEDO,ESPANYOL,1,0
23/6/24,ESPANYOL,OVIEDO,2,0
