Fecha,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
11/8/23,1,1,2,0,,El porcentaje de partidos con más de 2.5 goles es: 36.97%
11/8/23,2,0,2,0,,
12/8/23,4,0,4,1,,
12/8/23,2,0,2,0,,
12/8/23,0,1,1,0,,
13/8/23,1,1,2,0,,
13/8/23,1,1,2,0,,
13/8/23,0,1,1,0,,
13/8/23,0,1,1,0,,
14/8/23,4,0,4,1,,
14/8/23,1,0,1,0,,
18/8/23,3,2,5,1,,
18/8/23,1,0,1,0,,
19/8/23,2,1,3,1,,
19/8/23,2,0,2,0,,
19/8/23,3,2,5,1,,
19/8/23,0,2,2,0,,
20/8/23,1,1,2,0,,
20/8/23,3,0,3,1,,
20/8/23,2,2,4,1,,
21/8/23,3,1,4,1,,
21/8/23,0,2,2,0,,
25/8/23,0,1,1,0,,
26/8/23,1,0,1,0,,
26/8/23,0,1,1,0,,
26/8/23,1,0,1,0,,
26/8/23,0,2,2,0,,
27/8/23,2,0,2,0,,
27/8/23,0,1,1,0,,
27/8/23,3,0,3,1,,
27/8/23,2,0,2,0,,
28/8/23,2,1,3,1,,
28/8/23,0,0,0,0,,
1/9/23,1,1,2,0,,
1/9/23,2,0,2,0,,
2/9/23,2,1,3,1,,
2/9/23,1,1,2,0,,
2/9/23,1,1,2,0,,
2/9/23,1,2,3,1,,
3/9/23,0,1,1,0,,
3/9/23,0,1,1,0,,
3/9/23,2,0,2,0,,
3/9/23,3,2,5,1,,
3/9/23,1,1,2,0,,
8/9/23,1,4,5,1,,
9/9/23,1,0,1,0,,
9/9/23,0,0,0,0,,
9/9/23,2,0,2,0,,
9/9/23,2,0,2,0,,
10/9/23,2,2,4,1,,
10/9/23,1,0,1,0,,
10/9/23,4,3,7,1,,
10/9/23,1,3,4,1,,
10/9/23,1,1,2,0,,
11/9/23,2,2,4,1,,
15/9/23,1,1,2,0,,
16/9/23,2,2,4,1,,
16/9/23,1,0,1,0,,
16/9/23,0,2,2,0,,
16/9/23,2,1,3,1,,
17/9/23,2,0,2,0,,
17/9/23,2,0,2,0,,
17/9/23,3,3,6,1,,
17/9/23,1,0,1,0,,
17/9/23,2,1,3,1,,
18/9/23,1,0,1,0,,
22/9/23,1,2,3,1,,
23/9/23,0,0,0,0,,
23/9/23,2,0,2,0,,
23/9/23,4,0,4,1,,
23/9/23,0,2,2,0,,
23/9/23,2,1,3,1,,
24/9/23,3,1,4,1,,
24/9/23,0,1,1,0,,
24/9/23,1,3,4,1,,
25/9/23,1,0,1,0,,
25/9/23,1,0,1,0,,
29/9/23,2,1,3,1,,
30/9/23,3,0,3,1,,
30/9/23,0,0,0,0,,
30/9/23,2,2,4,1,,
30/9/23,3,1,4,1,,
1/10/23,1,3,4,1,,
1/10/23,0,1,1,0,,
1/10/23,3,0,3,1,,
1/10/23,0,0,0,0,,
1/10/23,0,1,1,0,,
2/10/23,3,0,3,1,,
3/10/23,1,1,2,0,,
3/10/23,1,2,3,1,,
3/10/23,2,0,2,0,,
4/10/23,1,0,1,0,,
4/10/23,0,1,1,0,,
4/10/23,1,0,1,0,,
4/10/23,2,0,2,0,,
5/10/23,1,3,4,1,,
5/10/23,0,1,1,0,,
5/10/23,0,2,2,0,,
5/10/23,1,0,1,0,,
6/10/23,0,2,2,0,,
7/10/23,0,1,1,0,,
7/10/23,3,2,5,1,,
7/10/23,0,0,0,0,,
8/10/23,1,2,3,1,,
8/10/23,3,2,5,1,,
8/10/23,1,1,2,0,,
8/10/23,2,1,3,1,,
8/10/23,0,2,2,0,,
9/10/23,2,1,3,1,,
9/10/23,3,1,4,1,,
13/10/23,3,0,3,1,,
14/10/23,1,1,2,0,,
14/10/23,2,3,5,1,,
14/10/23,2,2,4,1,,
14/10/23,2,0,2,0,,
15/10/23,3,2,5,1,,
15/10/23,1,1,2,0,,
15/10/23,2,0,2,0,,
15/10/23,1,1,2,0,,
15/10/23,6,0,6,1,,
16/10/23,1,0,1,0,,
20/10/23,0,1,1,0,,
21/10/23,0,0,0,0,,
21/10/23,0,3,3,1,,
21/10/23,0,0,0,0,,
21/10/23,2,3,5,1,,
22/10/23,1,1,2,0,,
22/10/23,0,1,1,0,,
22/10/23,1,3,4,1,,
22/10/23,3,0,3,1,,
22/10/23,2,0,2,0,,
23/10/23,1,1,2,0,,
27/10/23,5,1,6,1,,
28/10/23,2,0,2,0,,
28/10/23,2,0,2,0,,
28/10/23,2,0,2,0,,
28/10/23,2,1,3,1,,
29/10/23,2,1,3,1,,
29/10/23,0,0,0,0,,
29/10/23,1,0,1,0,,
29/10/23,2,0,2,0,,
29/10/23,1,3,4,1,,
30/10/23,1,1,2,0,,
3/11/23,2,2,4,1,,
